hole,(latFront, longFront),(latMiddle, longMiddle),(latBack, longBack)
1,(47.533443, -122.135871),(47.533382, -122.135741),(47.533315, -122.135595)
2,(47.532174, -122.136259),(47.532050, -122.136341),(47.531976, -122.136562)
3,(47.532465, -122.133399),(47.532465, -122.133399),(47.532574, -122.133072)
4,(47.529054, -122.128983),(47.528936, -122.128977),(47.528802, -122.128847)
5,(47.530006, -122.132040),(47.530006, -122.132040),(47.530006, -122.132040)
6,(47.530006, -122.132040),(47.530831, -122.138542),(47.530898, -122.138783)
7,(47.532656, -122.136912),(47.532665, -122.136676),(47.532698, -122.136440)
8,(47.533233, -122.142974),(47.533184, -122.143175),(47.533105, -122.143395)
9,(47.533868, -122.143910),(47.533973, -122.143997),(47.534073, -122.144039)
10,(47.534227, -122.151073),(47.534313, -122.151223),(47.534397, -122.151366)
11,(47.534682, -122.149730),(47.534600, -122.149606),(47.534550, -122.149468)
12,(47.536176, -122.152797),(47.536257, -122.152936),(47.536348, -122.153042)
13,(47.533886, -122.151697),(47.533801, -122.151541),(47.533717, -122.151388)
14,(47.533130, -122.146514),(47.533075, -122.146334),(47.533043, -122.146187)
15,(47.532027, -122.145161),(47.531952, -122.145125),(47.531873, -122.145097)
16,(47.532282, -122.139434),(47.532286, -122.139178),(47.532295, -122.138891)
17,(47.532289, -122.143437),(47.532217, -122.143631),(47.532111, -122.143794)
18,(47.535047, -122.145216),(47.535186, -122.145119),(47.535289, -122.145040)